"column_name","family","tenor","wing","form","base_column","units","description","formula"
"chg_1w_skew_30d_25p_25c","skew","30d","25p_25c","chg_1w","skew_30d_25p_25c","slope","Weekly (5td) change of skew_30d_25p_25c (snapshot-aligned)","skew_30d_25p_25c_t - skew_30d_25p_25c_{t-5td, same quote_time}"
"z_skew_90d_10p_25p","skew","90d","10p_25p","z","skew_90d_10p_25p","z_score","63-trading-day rolling z-score of skew_90d_10p_25p (snapshot-aligned)","(skew_90d_10p_25p_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_90d_10p_25p","skew","90d","10p_25p","chg_d","skew_90d_10p_25p","slope","Daily change of skew_90d_10p_25p (snapshot-aligned)","skew_90d_10p_25p_t - skew_90d_10p_25p_{t-1td, same quote_time}"
"chg_1w_skew_90d_10p_25p","skew","90d","10p_25p","chg_1w","skew_90d_10p_25p","slope","Weekly (5td) change of skew_90d_10p_25p (snapshot-aligned)","skew_90d_10p_25p_t - skew_90d_10p_25p_{t-5td, same quote_time}"
"z_skew_90d_25p_atm","skew","90d","25p_atm","z","skew_90d_25p_atm","z_score","63-trading-day rolling z-score of skew_90d_25p_atm (snapshot-aligned)","(skew_90d_25p_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_90d_25p_atm","skew","90d","25p_atm","chg_d","skew_90d_25p_atm","slope","Daily change of skew_90d_25p_atm (snapshot-aligned)","skew_90d_25p_atm_t - skew_90d_25p_atm_{t-1td, same quote_time}"
"chg_1w_skew_90d_25p_atm","skew","90d","25p_atm","chg_1w","skew_90d_25p_atm","slope","Weekly (5td) change of skew_90d_25p_atm (snapshot-aligned)","skew_90d_25p_atm_t - skew_90d_25p_atm_{t-5td, same quote_time}"
"z_skew_90d_10p_atm","skew","90d","10p_atm","z","skew_90d_10p_atm","z_score","63-trading-day rolling z-score of skew_90d_10p_atm (snapshot-aligned)","(skew_90d_10p_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_90d_10p_atm","skew","90d","10p_atm","chg_d","skew_90d_10p_atm","slope","Daily change of skew_90d_10p_atm (snapshot-aligned)","skew_90d_10p_atm_t - skew_90d_10p_atm_{t-1td, same quote_time}"
"chg_1w_skew_90d_10p_atm","skew","90d","10p_atm","chg_1w","skew_90d_10p_atm","slope","Weekly (5td) change of skew_90d_10p_atm (snapshot-aligned)","skew_90d_10p_atm_t - skew_90d_10p_atm_{t-5td, same quote_time}"
"z_skew_90d_atm_25c","skew","90d","atm_25c","z","skew_90d_atm_25c","z_score","63-trading-day rolling z-score of skew_90d_atm_25c (snapshot-aligned)","(skew_90d_atm_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_90d_atm_25c","skew","90d","atm_25c","chg_d","skew_90d_atm_25c","slope","Daily change of skew_90d_atm_25c (snapshot-aligned)","skew_90d_atm_25c_t - skew_90d_atm_25c_{t-1td, same quote_time}"
"chg_1w_skew_90d_atm_25c","skew","90d","atm_25c","chg_1w","skew_90d_atm_25c","slope","Weekly (5td) change of skew_90d_atm_25c (snapshot-aligned)","skew_90d_atm_25c_t - skew_90d_atm_25c_{t-5td, same quote_time}"
"z_skew_90d_atm_10c","skew","90d","atm_10c","z","skew_90d_atm_10c","z_score","63-trading-day rolling z-score of skew_90d_atm_10c (snapshot-aligned)","(skew_90d_atm_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_90d_atm_10c","skew","90d","atm_10c","chg_d","skew_90d_atm_10c","slope","Daily change of skew_90d_atm_10c (snapshot-aligned)","skew_90d_atm_10c_t - skew_90d_atm_10c_{t-1td, same quote_time}"
"chg_1w_skew_90d_atm_10c","skew","90d","atm_10c","chg_1w","skew_90d_atm_10c","slope","Weekly (5td) change of skew_90d_atm_10c (snapshot-aligned)","skew_90d_atm_10c_t - skew_90d_atm_10c_{t-5td, same quote_time}"
"z_skew_90d_25p_25c","skew","90d","25p_25c","z","skew_90d_25p_25c","z_score","63-trading-day rolling z-score of skew_90d_25p_25c (snapshot-aligned)","(skew_90d_25p_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_90d_25p_25c","skew","90d","25p_25c","chg_d","skew_90d_25p_25c","slope","Daily change of skew_90d_25p_25c (snapshot-aligned)","skew_90d_25p_25c_t - skew_90d_25p_25c_{t-1td, same quote_time}"
"chg_1w_skew_90d_25p_25c","skew","90d","25p_25c","chg_1w","skew_90d_25p_25c","slope","Weekly (5td) change of skew_90d_25p_25c (snapshot-aligned)","skew_90d_25p_25c_t - skew_90d_25p_25c_{t-5td, same quote_time}"
"z_skew_180d_10p_25p","skew","180d","10p_25p","z","skew_180d_10p_25p","z_score","63-trading-day rolling z-score of skew_180d_10p_25p (snapshot-aligned)","(skew_180d_10p_25p_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_180d_10p_25p","skew","180d","10p_25p","chg_d","skew_180d_10p_25p","slope","Daily change of skew_180d_10p_25p (snapshot-aligned)","skew_180d_10p_25p_t - skew_180d_10p_25p_{t-1td, same quote_time}"
"chg_1w_skew_180d_10p_25p","skew","180d","10p_25p","chg_1w","skew_180d_10p_25p","slope","Weekly (5td) change of skew_180d_10p_25p (snapshot-aligned)","skew_180d_10p_25p_t - skew_180d_10p_25p_{t-5td, same quote_time}"
"z_skew_180d_25p_atm","skew","180d","25p_atm","z","skew_180d_25p_atm","z_score","63-trading-day rolling z-score of skew_180d_25p_atm (snapshot-aligned)","(skew_180d_25p_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_180d_25p_atm","skew","180d","25p_atm","chg_d","skew_180d_25p_atm","slope","Daily change of skew_180d_25p_atm (snapshot-aligned)","skew_180d_25p_atm_t - skew_180d_25p_atm_{t-1td, same quote_time}"
"chg_1w_skew_180d_25p_atm","skew","180d","25p_atm","chg_1w","skew_180d_25p_atm","slope","Weekly (5td) change of skew_180d_25p_atm (snapshot-aligned)","skew_180d_25p_atm_t - skew_180d_25p_atm_{t-5td, same quote_time}"
"z_skew_180d_10p_atm","skew","180d","10p_atm","z","skew_180d_10p_atm","z_score","63-trading-day rolling z-score of skew_180d_10p_atm (snapshot-aligned)","(skew_180d_10p_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_180d_10p_atm","skew","180d","10p_atm","chg_d","skew_180d_10p_atm","slope","Daily change of skew_180d_10p_atm (snapshot-aligned)","skew_180d_10p_atm_t - skew_180d_10p_atm_{t-1td, same quote_time}"
"chg_1w_skew_180d_10p_atm","skew","180d","10p_atm","chg_1w","skew_180d_10p_atm","slope","Weekly (5td) change of skew_180d_10p_atm (snapshot-aligned)","skew_180d_10p_atm_t - skew_180d_10p_atm_{t-5td, same quote_time}"
"z_skew_180d_atm_25c","skew","180d","atm_25c","z","skew_180d_atm_25c","z_score","63-trading-day rolling z-score of skew_180d_atm_25c (snapshot-aligned)","(skew_180d_atm_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_180d_atm_25c","skew","180d","atm_25c","chg_d","skew_180d_atm_25c","slope","Daily change of skew_180d_atm_25c (snapshot-aligned)","skew_180d_atm_25c_t - skew_180d_atm_25c_{t-1td, same quote_time}"
"chg_1w_skew_180d_atm_25c","skew","180d","atm_25c","chg_1w","skew_180d_atm_25c","slope","Weekly (5td) change of skew_180d_atm_25c (snapshot-aligned)","skew_180d_atm_25c_t - skew_180d_atm_25c_{t-5td, same quote_time}"
"z_skew_180d_atm_10c","skew","180d","atm_10c","z","skew_180d_atm_10c","z_score","63-trading-day rolling z-score of skew_180d_atm_10c (snapshot-aligned)","(skew_180d_atm_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_180d_atm_10c","skew","180d","atm_10c","chg_d","skew_180d_atm_10c","slope","Daily change of skew_180d_atm_10c (snapshot-aligned)","skew_180d_atm_10c_t - skew_180d_atm_10c_{t-1td, same quote_time}"
"chg_1w_skew_180d_atm_10c","skew","180d","atm_10c","chg_1w","skew_180d_atm_10c","slope","Weekly (5td) change of skew_180d_atm_10c (snapshot-aligned)","skew_180d_atm_10c_t - skew_180d_atm_10c_{t-5td, same quote_time}"
"z_skew_180d_25p_25c","skew","180d","25p_25c","z","skew_180d_25p_25c","z_score","63-trading-day rolling z-score of skew_180d_25p_25c (snapshot-aligned)","(skew_180d_25p_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_180d_25p_25c","skew","180d","25p_25c","chg_d","skew_180d_25p_25c","slope","Daily change of skew_180d_25p_25c (snapshot-aligned)","skew_180d_25p_25c_t - skew_180d_25p_25c_{t-1td, same quote_time}"
"chg_1w_skew_180d_25p_25c","skew","180d","25p_25c","chg_1w","skew_180d_25p_25c","slope","Weekly (5td) change of skew_180d_25p_25c (snapshot-aligned)","skew_180d_25p_25c_t - skew_180d_25p_25c_{t-5td, same quote_time}"
"z_term_slope_1_7_25p","term_slope","1d_7d","25p","z","term_slope_1_7_25p","z_score","63-trading-day rolling z-score of term_slope_1_7_25p (snapshot-aligned)","(term_slope_1_7_25p_t - μ) / σ over last 63td at same quote_time"
"chg_d_term_slope_1_7_25p","term_slope","1d_7d","25p","chg_d","term_slope_1_7_25p","vol_decimal","Daily change of term_slope_1_7_25p (snapshot-aligned)","term_slope_1_7_25p_t - term_slope_1_7_25p_{t-1td, same quote_time}"
"chg_1w_term_slope_1_7_25p","term_slope","1d_7d","25p","chg_1w","term_slope_1_7_25p","vol_decimal","Weekly (5td) change of term_slope_1_7_25p (snapshot-aligned)","term_slope_1_7_25p_t - term_slope_1_7_25p_{t-5td, same quote_time}"
"z_term_slope_1_7_atm","term_slope","1d_7d","atm","z","term_slope_1_7_atm","z_score","63-trading-day rolling z-score of term_slope_1_7_atm (snapshot-aligned)","(term_slope_1_7_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_term_slope_1_7_atm","term_slope","1d_7d","atm","chg_d","term_slope_1_7_atm","vol_decimal","Daily change of term_slope_1_7_atm (snapshot-aligned)","term_slope_1_7_atm_t - term_slope_1_7_atm_{t-1td, same quote_time}"
"chg_1w_term_slope_1_7_atm","term_slope","1d_7d","atm","chg_1w","term_slope_1_7_atm","vol_decimal","Weekly (5td) change of term_slope_1_7_atm (snapshot-aligned)","term_slope_1_7_atm_t - term_slope_1_7_atm_{t-5td, same quote_time}"
"z_term_slope_1_7_25c","term_slope","1d_7d","25c","z","term_slope_1_7_25c","z_score","63-trading-day rolling z-score of term_slope_1_7_25c (snapshot-aligned)","(term_slope_1_7_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_term_slope_1_7_25c","term_slope","1d_7d","25c","chg_d","term_slope_1_7_25c","vol_decimal","Daily change of term_slope_1_7_25c (snapshot-aligned)","term_slope_1_7_25c_t - term_slope_1_7_25c_{t-1td, same quote_time}"
"chg_1w_term_slope_1_7_25c","term_slope","1d_7d","25c","chg_1w","term_slope_1_7_25c","vol_decimal","Weekly (5td) change of term_slope_1_7_25c (snapshot-aligned)","term_slope_1_7_25c_t - term_slope_1_7_25c_{t-5td, same quote_time}"
"z_term_slope_7_30_25p","term_slope","7d_30d","25p","z","term_slope_7_30_25p","z_score","63-trading-day rolling z-score of term_slope_7_30_25p (snapshot-aligned)","(term_slope_7_30_25p_t - μ) / σ over last 63td at same quote_time"
"chg_d_term_slope_7_30_25p","term_slope","7d_30d","25p","chg_d","term_slope_7_30_25p","vol_decimal","Daily change of term_slope_7_30_25p (snapshot-aligned)","term_slope_7_30_25p_t - term_slope_7_30_25p_{t-1td, same quote_time}"
"chg_1w_term_slope_7_30_25p","term_slope","7d_30d","25p","chg_1w","term_slope_7_30_25p","vol_decimal","Weekly (5td) change of term_slope_7_30_25p (snapshot-aligned)","term_slope_7_30_25p_t - term_slope_7_30_25p_{t-5td, same quote_time}"
"z_term_slope_7_30_atm","term_slope","7d_30d","atm","z","term_slope_7_30_atm","z_score","63-trading-day rolling z-score of term_slope_7_30_atm (snapshot-aligned)","(term_slope_7_30_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_term_slope_7_30_atm","term_slope","7d_30d","atm","chg_d","term_slope_7_30_atm","vol_decimal","Daily change of term_slope_7_30_atm (snapshot-aligned)","term_slope_7_30_atm_t - term_slope_7_30_atm_{t-1td, same quote_time}"
"chg_1w_term_slope_7_30_atm","term_slope","7d_30d","atm","chg_1w","term_slope_7_30_atm","vol_decimal","Weekly (5td) change of term_slope_7_30_atm (snapshot-aligned)","term_slope_7_30_atm_t - term_slope_7_30_atm_{t-5td, same quote_time}"
"z_term_slope_7_30_25c","term_slope","7d_30d","25c","z","term_slope_7_30_25c","z_score","63-trading-day rolling z-score of term_slope_7_30_25c (snapshot-aligned)","(term_slope_7_30_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_term_slope_7_30_25c","term_slope","7d_30d","25c","chg_d","term_slope_7_30_25c","vol_decimal","Daily change of term_slope_7_30_25c (snapshot-aligned)","term_slope_7_30_25c_t - term_slope_7_30_25c_{t-1td, same quote_time}"
"chg_1w_term_slope_7_30_25c","term_slope","7d_30d","25c","chg_1w","term_slope_7_30_25c","vol_decimal","Weekly (5td) change of term_slope_7_30_25c (snapshot-aligned)","term_slope_7_30_25c_t - term_slope_7_30_25c_{t-5td, same quote_time}"
"z_term_slope_30_90_25p","term_slope","30d_90d","25p","z","term_slope_30_90_25p","z_score","63-trading-day rolling z-score of term_slope_30_90_25p (snapshot-aligned)","(term_slope_30_90_25p_t - μ) / σ over last 63td at same quote_time"
"chg_d_term_slope_30_90_25p","term_slope","30d_90d","25p","chg_d","term_slope_30_90_25p","vol_decimal","Daily change of term_slope_30_90_25p (snapshot-aligned)","term_slope_30_90_25p_t - term_slope_30_90_25p_{t-1td, same quote_time}"
"chg_1w_term_slope_30_90_25p","term_slope","30d_90d","25p","chg_1w","term_slope_30_90_25p","vol_decimal","Weekly (5td) change of term_slope_30_90_25p (snapshot-aligned)","term_slope_30_90_25p_t - term_slope_30_90_25p_{t-5td, same quote_time}"
"z_term_slope_30_90_atm","term_slope","30d_90d","atm","z","term_slope_30_90_atm","z_score","63-trading-day rolling z-score of term_slope_30_90_atm (snapshot-aligned)","(term_slope_30_90_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_term_slope_30_90_atm","term_slope","30d_90d","atm","chg_d","term_slope_30_90_atm","vol_decimal","Daily change of term_slope_30_90_atm (snapshot-aligned)","term_slope_30_90_atm_t - term_slope_30_90_atm_{t-1td, same quote_time}"
"chg_1w_term_slope_30_90_atm","term_slope","30d_90d","atm","chg_1w","term_slope_30_90_atm","vol_decimal","Weekly (5td) change of term_slope_30_90_atm (snapshot-aligned)","term_slope_30_90_atm_t - term_slope_30_90_atm_{t-5td, same quote_time}"
"z_term_slope_30_90_25c","term_slope","30d_90d","25c","z","term_slope_30_90_25c","z_score","63-trading-day rolling z-score of term_slope_30_90_25c (snapshot-aligned)","(term_slope_30_90_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_term_slope_30_90_25c","term_slope","30d_90d","25c","chg_d","term_slope_30_90_25c","vol_decimal","Daily change of term_slope_30_90_25c (snapshot-aligned)","term_slope_30_90_25c_t - term_slope_30_90_25c_{t-1td, same quote_time}"
"chg_1w_term_slope_30_90_25c","term_slope","30d_90d","25c","chg_1w","term_slope_30_90_25c","vol_decimal","Weekly (5td) change of term_slope_30_90_25c (snapshot-aligned)","term_slope_30_90_25c_t - term_slope_30_90_25c_{t-5td, same quote_time}"
"z_convex_1d_10p_25p_atm","convex","1d","10p_25p_atm","z","convex_1d_10p_25p_atm","z_score","63-trading-day rolling z-score of convex_1d_10p_25p_atm (snapshot-aligned)","(convex_1d_10p_25p_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_1d_10p_25p_atm","convex","1d","10p_25p_atm","chg_d","convex_1d_10p_25p_atm","vol_decimal","Daily change of convex_1d_10p_25p_atm (snapshot-aligned)","convex_1d_10p_25p_atm_t - convex_1d_10p_25p_atm_{t-1td, same quote_time}"
"chg_1w_convex_1d_10p_25p_atm","convex","1d","10p_25p_atm","chg_1w","convex_1d_10p_25p_atm","vol_decimal","Weekly (5td) change of convex_1d_10p_25p_atm (snapshot-aligned)","convex_1d_10p_25p_atm_t - convex_1d_10p_25p_atm_{t-5td, same quote_time}"
"z_convex_1d_atm_25c_10c","convex","1d","atm_25c_10c","z","convex_1d_atm_25c_10c","z_score","63-trading-day rolling z-score of convex_1d_atm_25c_10c (snapshot-aligned)","(convex_1d_atm_25c_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_1d_atm_25c_10c","convex","1d","atm_25c_10c","chg_d","convex_1d_atm_25c_10c","vol_decimal","Daily change of convex_1d_atm_25c_10c (snapshot-aligned)","convex_1d_atm_25c_10c_t - convex_1d_atm_25c_10c_{t-1td, same quote_time}"
"chg_1w_convex_1d_atm_25c_10c","convex","1d","atm_25c_10c","chg_1w","convex_1d_atm_25c_10c","vol_decimal","Weekly (5td) change of convex_1d_atm_25c_10c (snapshot-aligned)","convex_1d_atm_25c_10c_t - convex_1d_atm_25c_10c_{t-5td, same quote_time}"
"z_convex_1d_25p_atm_25c","convex","1d","25p_atm_25c","z","convex_1d_25p_atm_25c","z_score","63-trading-day rolling z-score of convex_1d_25p_atm_25c (snapshot-aligned)","(convex_1d_25p_atm_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_1d_25p_atm_25c","convex","1d","25p_atm_25c","chg_d","convex_1d_25p_atm_25c","vol_decimal","Daily change of convex_1d_25p_atm_25c (snapshot-aligned)","convex_1d_25p_atm_25c_t - convex_1d_25p_atm_25c_{t-1td, same quote_time}"
"chg_1w_convex_1d_25p_atm_25c","convex","1d","25p_atm_25c","chg_1w","convex_1d_25p_atm_25c","vol_decimal","Weekly (5td) change of convex_1d_25p_atm_25c (snapshot-aligned)","convex_1d_25p_atm_25c_t - convex_1d_25p_atm_25c_{t-5td, same quote_time}"
"z_convex_1d_10p_atm_10c","convex","1d","10p_atm_10c","z","convex_1d_10p_atm_10c","z_score","63-trading-day rolling z-score of convex_1d_10p_atm_10c (snapshot-aligned)","(convex_1d_10p_atm_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_1d_10p_atm_10c","convex","1d","10p_atm_10c","chg_d","convex_1d_10p_atm_10c","vol_decimal","Daily change of convex_1d_10p_atm_10c (snapshot-aligned)","convex_1d_10p_atm_10c_t - convex_1d_10p_atm_10c_{t-1td, same quote_time}"
"chg_1w_convex_1d_10p_atm_10c","convex","1d","10p_atm_10c","chg_1w","convex_1d_10p_atm_10c","vol_decimal","Weekly (5td) change of convex_1d_10p_atm_10c (snapshot-aligned)","convex_1d_10p_atm_10c_t - convex_1d_10p_atm_10c_{t-5td, same quote_time}"
"z_convex_7d_10p_25p_atm","convex","7d","10p_25p_atm","z","convex_7d_10p_25p_atm","z_score","63-trading-day rolling z-score of convex_7d_10p_25p_atm (snapshot-aligned)","(convex_7d_10p_25p_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_7d_10p_25p_atm","convex","7d","10p_25p_atm","chg_d","convex_7d_10p_25p_atm","vol_decimal","Daily change of convex_7d_10p_25p_atm (snapshot-aligned)","convex_7d_10p_25p_atm_t - convex_7d_10p_25p_atm_{t-1td, same quote_time}"
"chg_1w_convex_7d_10p_25p_atm","convex","7d","10p_25p_atm","chg_1w","convex_7d_10p_25p_atm","vol_decimal","Weekly (5td) change of convex_7d_10p_25p_atm (snapshot-aligned)","convex_7d_10p_25p_atm_t - convex_7d_10p_25p_atm_{t-5td, same quote_time}"
"z_convex_7d_atm_25c_10c","convex","7d","atm_25c_10c","z","convex_7d_atm_25c_10c","z_score","63-trading-day rolling z-score of convex_7d_atm_25c_10c (snapshot-aligned)","(convex_7d_atm_25c_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_7d_atm_25c_10c","convex","7d","atm_25c_10c","chg_d","convex_7d_atm_25c_10c","vol_decimal","Daily change of convex_7d_atm_25c_10c (snapshot-aligned)","convex_7d_atm_25c_10c_t - convex_7d_atm_25c_10c_{t-1td, same quote_time}"
"chg_1w_convex_7d_atm_25c_10c","convex","7d","atm_25c_10c","chg_1w","convex_7d_atm_25c_10c","vol_decimal","Weekly (5td) change of convex_7d_atm_25c_10c (snapshot-aligned)","convex_7d_atm_25c_10c_t - convex_7d_atm_25c_10c_{t-5td, same quote_time}"
"z_convex_7d_25p_atm_25c","convex","7d","25p_atm_25c","z","convex_7d_25p_atm_25c","z_score","63-trading-day rolling z-score of convex_7d_25p_atm_25c (snapshot-aligned)","(convex_7d_25p_atm_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_7d_25p_atm_25c","convex","7d","25p_atm_25c","chg_d","convex_7d_25p_atm_25c","vol_decimal","Daily change of convex_7d_25p_atm_25c (snapshot-aligned)","convex_7d_25p_atm_25c_t - convex_7d_25p_atm_25c_{t-1td, same quote_time}"
"chg_1w_convex_7d_25p_atm_25c","convex","7d","25p_atm_25c","chg_1w","convex_7d_25p_atm_25c","vol_decimal","Weekly (5td) change of convex_7d_25p_atm_25c (snapshot-aligned)","convex_7d_25p_atm_25c_t - convex_7d_25p_atm_25c_{t-5td, same quote_time}"
"z_convex_7d_10p_atm_10c","convex","7d","10p_atm_10c","z","convex_7d_10p_atm_10c","z_score","63-trading-day rolling z-score of convex_7d_10p_atm_10c (snapshot-aligned)","(convex_7d_10p_atm_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_7d_10p_atm_10c","convex","7d","10p_atm_10c","chg_d","convex_7d_10p_atm_10c","vol_decimal","Daily change of convex_7d_10p_atm_10c (snapshot-aligned)","convex_7d_10p_atm_10c_t - convex_7d_10p_atm_10c_{t-1td, same quote_time}"
"chg_1w_convex_7d_10p_atm_10c","convex","7d","10p_atm_10c","chg_1w","convex_7d_10p_atm_10c","vol_decimal","Weekly (5td) change of convex_7d_10p_atm_10c (snapshot-aligned)","convex_7d_10p_atm_10c_t - convex_7d_10p_atm_10c_{t-5td, same quote_time}"
"z_convex_30d_10p_25p_atm","convex","30d","10p_25p_atm","z","convex_30d_10p_25p_atm","z_score","63-trading-day rolling z-score of convex_30d_10p_25p_atm (snapshot-aligned)","(convex_30d_10p_25p_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_30d_10p_25p_atm","convex","30d","10p_25p_atm","chg_d","convex_30d_10p_25p_atm","vol_decimal","Daily change of convex_30d_10p_25p_atm (snapshot-aligned)","convex_30d_10p_25p_atm_t - convex_30d_10p_25p_atm_{t-1td, same quote_time}"
"chg_1w_convex_30d_10p_25p_atm","convex","30d","10p_25p_atm","chg_1w","convex_30d_10p_25p_atm","vol_decimal","Weekly (5td) change of convex_30d_10p_25p_atm (snapshot-aligned)","convex_30d_10p_25p_atm_t - convex_30d_10p_25p_atm_{t-5td, same quote_time}"
"z_convex_30d_atm_25c_10c","convex","30d","atm_25c_10c","z","convex_30d_atm_25c_10c","z_score","63-trading-day rolling z-score of convex_30d_atm_25c_10c (snapshot-aligned)","(convex_30d_atm_25c_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_30d_atm_25c_10c","convex","30d","atm_25c_10c","chg_d","convex_30d_atm_25c_10c","vol_decimal","Daily change of convex_30d_atm_25c_10c (snapshot-aligned)","convex_30d_atm_25c_10c_t - convex_30d_atm_25c_10c_{t-1td, same quote_time}"
"chg_1w_convex_30d_atm_25c_10c","convex","30d","atm_25c_10c","chg_1w","convex_30d_atm_25c_10c","vol_decimal","Weekly (5td) change of convex_30d_atm_25c_10c (snapshot-aligned)","convex_30d_atm_25c_10c_t - convex_30d_atm_25c_10c_{t-5td, same quote_time}"
"z_convex_30d_25p_atm_25c","convex","30d","25p_atm_25c","z","convex_30d_25p_atm_25c","z_score","63-trading-day rolling z-score of convex_30d_25p_atm_25c (snapshot-aligned)","(convex_30d_25p_atm_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_30d_25p_atm_25c","convex","30d","25p_atm_25c","chg_d","convex_30d_25p_atm_25c","vol_decimal","Daily change of convex_30d_25p_atm_25c (snapshot-aligned)","convex_30d_25p_atm_25c_t - convex_30d_25p_atm_25c_{t-1td, same quote_time}"
"chg_1w_convex_30d_25p_atm_25c","convex","30d","25p_atm_25c","chg_1w","convex_30d_25p_atm_25c","vol_decimal","Weekly (5td) change of convex_30d_25p_atm_25c (snapshot-aligned)","convex_30d_25p_atm_25c_t - convex_30d_25p_atm_25c_{t-5td, same quote_time}"
"z_convex_30d_10p_atm_10c","convex","30d","10p_atm_10c","z","convex_30d_10p_atm_10c","z_score","63-trading-day rolling z-score of convex_30d_10p_atm_10c (snapshot-aligned)","(convex_30d_10p_atm_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_30d_10p_atm_10c","convex","30d","10p_atm_10c","chg_d","convex_30d_10p_atm_10c","vol_decimal","Daily change of convex_30d_10p_atm_10c (snapshot-aligned)","convex_30d_10p_atm_10c_t - convex_30d_10p_atm_10c_{t-1td, same quote_time}"
"chg_1w_convex_30d_10p_atm_10c","convex","30d","10p_atm_10c","chg_1w","convex_30d_10p_atm_10c","vol_decimal","Weekly (5td) change of convex_30d_10p_atm_10c (snapshot-aligned)","convex_30d_10p_atm_10c_t - convex_30d_10p_atm_10c_{t-5td, same quote_time}"
"z_convex_90d_10p_25p_atm","convex","90d","10p_25p_atm","z","convex_90d_10p_25p_atm","z_score","63-trading-day rolling z-score of convex_90d_10p_25p_atm (snapshot-aligned)","(convex_90d_10p_25p_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_90d_10p_25p_atm","convex","90d","10p_25p_atm","chg_d","convex_90d_10p_25p_atm","vol_decimal","Daily change of convex_90d_10p_25p_atm (snapshot-aligned)","convex_90d_10p_25p_atm_t - convex_90d_10p_25p_atm_{t-1td, same quote_time}"
"chg_1w_convex_90d_10p_25p_atm","convex","90d","10p_25p_atm","chg_1w","convex_90d_10p_25p_atm","vol_decimal","Weekly (5td) change of convex_90d_10p_25p_atm (snapshot-aligned)","convex_90d_10p_25p_atm_t - convex_90d_10p_25p_atm_{t-5td, same quote_time}"
"z_convex_90d_atm_25c_10c","convex","90d","atm_25c_10c","z","convex_90d_atm_25c_10c","z_score","63-trading-day rolling z-score of convex_90d_atm_25c_10c (snapshot-aligned)","(convex_90d_atm_25c_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_90d_atm_25c_10c","convex","90d","atm_25c_10c","chg_d","convex_90d_atm_25c_10c","vol_decimal","Daily change of convex_90d_atm_25c_10c (snapshot-aligned)","convex_90d_atm_25c_10c_t - convex_90d_atm_25c_10c_{t-1td, same quote_time}"
"chg_1w_convex_90d_atm_25c_10c","convex","90d","atm_25c_10c","chg_1w","convex_90d_atm_25c_10c","vol_decimal","Weekly (5td) change of convex_90d_atm_25c_10c (snapshot-aligned)","convex_90d_atm_25c_10c_t - convex_90d_atm_25c_10c_{t-5td, same quote_time}"
"z_convex_90d_25p_atm_25c","convex","90d","25p_atm_25c","z","convex_90d_25p_atm_25c","z_score","63-trading-day rolling z-score of convex_90d_25p_atm_25c (snapshot-aligned)","(convex_90d_25p_atm_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_90d_25p_atm_25c","convex","90d","25p_atm_25c","chg_d","convex_90d_25p_atm_25c","vol_decimal","Daily change of convex_90d_25p_atm_25c (snapshot-aligned)","convex_90d_25p_atm_25c_t - convex_90d_25p_atm_25c_{t-1td, same quote_time}"
"chg_1w_convex_90d_25p_atm_25c","convex","90d","25p_atm_25c","chg_1w","convex_90d_25p_atm_25c","vol_decimal","Weekly (5td) change of convex_90d_25p_atm_25c (snapshot-aligned)","convex_90d_25p_atm_25c_t - convex_90d_25p_atm_25c_{t-5td, same quote_time}"
